Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2021/11/16,112,NCCBPO,50.91,121.0,121.0,121.0,121.0,121.00,"87,000.00",121.00,"10,527,000.00",1,0.00,0.00,0.0,0.0,0.0,262.50,112.50
2021/11/21,112,NCCBPO,53.03,121.0,121.0,121.0,121.0,121.00,"106,985.00",121.00,"12,945,185.00",1,0.0,0.0,0.0,0.0,0.0,262.50,112.50
2021/11/22,114,NCCBPO,47.65,121.0,121.0,121.0,121.0,121.00,"45,000.00",121.00,"5,445,000.00",1,0.0,0.0,0.0,0.0,0.0,262.50,112.50
2021/11/23,114,NCCBPO,50.11,121.0,121.0,121.0,121.0,121.00,"81,713.00",121.00,"9,887,273.00",1,0.0,0.0,0.0,0.0,0.0,262.50,112.50
2021/11/25,115,NCCBPO,47.37,121.0,121.0,121.0,121.0,121.00,"40,388.00",121.00,"4,886,948.00",5,0.0,0.0,0.0,0.0,0.0,262.50,112.50
2021/11/28,116,NCCBPO,40.76,121.0,121.0,121.0,121.0,121.00,"4,706.00",121.00,"569,426.00",1,0.0,0.0,0.0,0.0,0.0,262.50,112.50
2021/12/02,114,NCCBPO,42.84,121.0,121.0,121.0,121.0,121.00,"8,000.00",121.00,"968,000.00",1,0.0,0.0,0.0,0.0,0.0,262.50,112.50
2021/12/23,114,NCCBPO,46.17,121.0,121.0,119.0,121.0,120.19,"39,892.00",121.00,"4,794,712.00",6,0.0,2.0,0.0,1.68,0.67,262.50,112.50
2022/03/28,116,NCCBPO,48.45,121.0,121.0,121.0,121.0,121.00,"50,000.00",121.00,"6,050,000.00",1,0.0,0.0,0.0,0.0,0.0,262.50,118.00
2022/05/05,118,NCCBPO,41.81,121.0,121.0,121.0,121.0,131.01,"260,000.00",121.00,"34,062,600.00",1,0.0,0.0,0.0,0.0,-8.27,141.50,119.00
2022/05/09,112,NCCBPO,30.58,121.0,121.0,121.0,121.0,121.00,"5,403.00",121.00,"653,763.00",1,0.0,0.0,0.0,0.0,0.0,141.50,119.00
2022/05/11,113,NCCBPO,39.8,121.0,121.0,121.0,121.0,121.00,"108,000.00",121.00,"13,068,000.00",1,0.0,0.0,0.0,0.0,0.0,141.50,119.00
2022/05/30,111,NCCBPO,44.7,123.0,123.0,123.0,123.0,123.00,"103,284.00",121.00,"12,703,932.00",2,2.0,0.0,1.65,0.0,0.0,141.50,119.00
2022/06/07,118,NCCBPO,31.81,121.0,121.0,121.0,121.0,121.00,"25,000.00",123.00,"3,025,000.00",1,-2.0,0.0,-1.63,0.0,0.0,141.50,119.00
2022/06/21,114,NCCBPO,36.31,121.0,121.0,121.0,121.0,121.00,"98,322.00",121.00,"11,896,962.00",2,0.0,0.00,0.0,0.0,0.0,141.50,119.00
2022/06/24,114,NCCBPO,28.35,121.0,121.0,121.0,121.0,121.00,"7,625.00",121.00,"922,625.00",1,0.0,0.0,0.0,0.0,0.0,141.50,119.00
2022/07/06,115,NCCBPO,31.94,121.0,121.0,121.0,121.0,121.00,"5,085.00",121.00,"615,285.00",1,0.0,0.0,0.0,0.0,0.0,141.50,119.00
2022/07/27,112,NCCBPO,36.96,121.0,121.0,121.0,121.0,121.00,"10,167.00",121.00,"1,230,207.00",1,0.0,0.0,0.0,0.0,0.0,141.50,119.00
2022/08/02,111,NCCBPO,44.98,123.4,123.4,123.4,123.4,123.40,"1,000.00",121.00,"123,400.00",1,2.4,0.0,1.98,0.0,0.0,141.50,119.00
2022/09/05,112,NCCBPO,41.0,123.4,123.4,123.4,123.4,133.45,"27,750.00",123.40,"3,703,300.00",12,0.0,0.0,0.0,0.0,-8.15,141.50,119.00
2022/12/01,126,NCCBPO,37.23,119.1,119.1,119.1,119.1,119.10,"683,116.00",123.40,"81,359,115.60",1,-4.3,0.0,-3.48,0.0,0.0,123.40,119.00
2022/12/15,132,NCCBPO,34.01,119.38,119.38,119.38,119.38,119.10,"1,922,270.00",119.38,"228,942,357.00",3,0.0,0.0,0.0,0.0,0.23,123.40,119.00
