Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2021/11/30,164,RLFLPO,48.44,322.0,322.0,322.0,322.0,322.00,563.00,322.00,"181,286.00",1,0.0,0.0,0.0,0.0,0.0,346.00,109.00
2021/12/09,168,RLFLPO,51.2,316.0,316.0,316.0,316.0,316.00,"17,864.00",322.00,"5,645,024.00",1,-6.0,0.0,-1.86,0.0,0.0,346.00,109.00
2022/01/02,176,RLFLPO,36.27,316.0,316.0,316.0,316.0,316.00,"1,326.00",316.00,"419,016.00",1,0.00,0.00,0.0,0.0,0.0,346.00,109.00
2022/01/03,166,RLFLPO,45.47,316.0,316.0,316.0,316.0,316.00,"12,300.00",316.00,"3,886,800.00",9,0.0,0.00,0.0,0.0,0.0,346.00,109.00
2022/05/12,164,RLFLPO,31.16,177.0,177.0,177.0,177.0,177.00,"17,961.00",177.00,"3,179,097.00",1,0.0,0.0,0.0,0.0,0.0,346.00,177.00
2022/10/13,165,RLFLPO,23.47,164.0,164.0,164.0,164.0,164.00,"2,695.00",164.00,"441,980.00",1,0.0,0.0,0.0,0.0,0.0,322.00,164.00
2022/11/16,172,RLFLPO,29.11,164.0,164.0,164.0,164.0,164.00,"8,162.00",164.00,"1,338,568.00",1,0.0,0.0,0.0,0.0,0.0,322.00,164.00
2023/01/02,187,RLFLPO,38.73,164.0,164.0,164.0,164.0,164.00,"10,000.00",164.00,"1,640,000.00",1,0.0,0.0,0.0,0.0,0.0,316.00,164.00
2023/01/09,189,RLFLPO,47.38,164.0,164.0,164.0,164.0,164.00,"20,655.00",164.00,"3,387,420.00",1,0.0,0.0,0.0,0.0,0.0,177.00,164.00
2023/03/09,187,RLFLPO,36.32,164.0,164.0,164.0,164.0,164.00,"14,244.00",164.00,"2,336,016.00",1,0.0,0.0,0.0,0.0,0.0,177.00,164.00
2023/03/27,188,RLFLPO,36.08,164.0,164.0,164.0,164.0,164.00,"12,387.00",164.00,"2,031,468.00",1,0.0,0.0,0.0,0.0,0.0,177.00,164.00
2023/07/13,216,RLFLPO,53.09,215.0,215.0,215.0,215.0,215.00,"20,656.00",215.00,"4,441,040.00",1,0.0,0.00,0.0,0.0,0.0,215.00,164.00
