Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2022/04/13,208,SMBPO,38.81,1001.0,1001.0,1001.0,1001.0,"1,001.00",600.00,0.00,"600,600.00",2,"1,001.00",0.0,0.0,0.0,0.0,"1,001.00","1,001.00"
2022/04/17,212,SMBPO,30.25,981.0,981.0,981.0,981.0,981.00,400.00,"1,001.00","392,400.00",1,-20.00,0.0,-2.0,0.0,0.0,"1,001.00",981.00
2022/04/18,208,SMBPO,29.38,981.0,981.0,981.0,981.0,981.00,500.00,981.00,"490,500.00",1,0.0,0.00,0.0,0.0,0.0,"1,001.00",981.00
2022/04/19,207,SMBPO,29.43,981.0,981.0,981.0,981.0,981.00,500.00,981.00,"490,500.00",1,0.0,0.0,0.0,0.0,0.0,"1,001.00",981.00
2022/04/20,208,SMBPO,31.54,981.0,981.0,981.0,981.0,981.00,"1,300.00",981.00,"1,275,300.00",3,0.0,0.0,0.0,0.0,0.0,"1,001.00",981.00
2022/04/26,207,SMBPO,37.53,962.0,962.0,962.0,962.0,962.00,"1,200.00",981.00,"1,154,400.00",3,-19.0,0.0,-1.94,0.0,0.0,"1,001.00",962.00
2022/05/08,212,SMBPO,37.03,962.0,962.0,962.0,962.0,575.19,"3,100.00",962.00,"1,783,080.00",10,0.0,0.0,0.0,0.0,40.21,"1,001.00",962.00
2022/09/28,197,SMBPO,23.23,652.0,652.0,652.0,652.0,652.00,200.00,652.00,"130,400.00",1,0.0,0.0,0.0,0.0,0.0,"1,001.00",652.00
2022/10/09,199,SMBPO,29.55,652.0,652.0,652.0,652.0,652.00,"1,000.00",652.00,"652,000.00",1,0.0,0.0,0.0,0.0,0.0,"1,001.00",652.00
2023/05/30,243,SMBPO,37.9,512.0,512.0,512.0,512.0,512.00,"7,150.00",652.00,"3,660,800.00",1,-140.0,0.00,-21.47,0.0,0.0,652.00,512.00
